"id","source","line","method","uri","route_name","middleware_auth","actor","handler","view_response","related_views","reads","writes","state_transitions","mail_export_document_effects","classification","confidence","notes"
"W001","routes/web.php","44","GET","/welcome","","web","visitor","closure","Blade welcome","none","none","none","none","none","route_page_debug","high","Stock Laravel welcome page"
"W002","routes/web.php","48","GET","/","","web","visitor; applicant; admin redirects backend","CourseController@index","Blade course.list","layouts.layout; includes.header/banner/menu/footer","course; center; course_type; tutor_type","none","none","none","route_page","high","Catalog alias 1; center filter control is passed through but current service behavior requires verification"
"W003","routes/web.php","49","GET","/course","","web","visitor; applicant; admin redirects backend","CourseController@index","Blade course.list","layouts.layout; includes.header/banner/menu/footer","course; center; course_type; tutor_type","none","none","none","route_page","high","Exact duplicate handler of W002"
"W004","routes/web.php","51","GET","/test","","web","public","closure","JSON status and callback_url","message.message indirectly through callback","none in active code","none","none","none","debug_api","high","Large commented DB cleanup/decrypt experiment remains in closure"
"W005","routes/web.php","90","GET","/xxxxx/{uid}","","web","public","closure","JSON data empty","mail.cancel through EmailServices","none required by closure; mail helper only","none","none","sends cancellation notification to admin using hardcoded personal ID/course; ignores uid","debug_mutation","high","Public mail-trigger route with hardcoded PII"
"W006","routes/web.php","103","GET","/suggest","","web","visitor","closure","Blade suggest","layouts.layout; public includes","none","none","none","banner image","route_page","high","Static preparation/suggestion content"
"W007","routes/web.php","110","GET","/applicant-qualifications","","web","visitor","closure","Blade qualification","layouts.layout; public includes","none","none","none","banner image","route_page","high","Static qualification content"
"W008","routes/web.php","117","GET","/about","","web","visitor","closure","Blade about","layouts.layout; public includes","none","none","none","banner image","route_page","high","Static about content"
"W009","routes/web.php","124","GET","/mail","","web","public","closure","Blade mail.welcome","mail.welcome","none","none","none","renders sample welcome email containing sample plaintext password","debug_email_preview","high","Unlike W010 this is not local-only"
"W010","routes/web.php","132","GET","/_local/mail-preview/{type?}","","web; explicit local environment guard","developer in local environment","closure","HTML index or rendered email HTML","mail.invite; mail.invite-staff; mail.confirmed-trainee-d10; mail.confirmed-trainee-d03; mail.confirmed-monastic-d10; mail.confirmed-staff-all; mail.welcome; mail.reset","none","none","none","preview only; links to PDFs/images","local_preview","high","404 outside local; query may override preview payload"
"W011","routes/web.php","243","GET","/signup","login","web; nested web","visitor","CustomAuthController@signup","Blade auth.signup or auth.mobile-signup","layouts.layout; public includes","none","none","none","none","route_page_auth","high","Jenssegers Agent chooses mobile/desktop; accepts encrypted redirect query u"
"W012","routes/web.php","244","GET","/signout","","web; nested web","applicant/session user","CustomAuthController@signout","redirect /signup","none","session","session flush","authenticated session to signed out","none","auth_mutation_get","high","Not protected by auth middleware and mutates over GET"
"W013","routes/web.php","246","POST","/signin","","web; nested web; CSRF globally exempt; no dedicated throttle","visitor","closure","JSON 200 or custom 599","none","users through Auth","session/auth state","signed out to authenticated applicant","none","auth_api","high","Requires active non-backend non-deleted user; supports encrypted redirect"
"W014","routes/web.php","285","GET","/agreement","","web; nested web","visitor registering","CustomAuthController@agreement","Blade auth.agreement","layouts.layout; public includes","none","none","none","links registration/privacy document through view","route_page","high","Agreement acceptance is handled client-side in registration flow"
"W015","routes/web.php","286","GET","/forgot","","web; nested web","visitor","CustomAuthController@forgot","Blade auth.forgot","layouts.layout; public includes","none","none","none","none","route_page_auth","high","Form posts W018"
"W016","routes/web.php","287","GET","/messages/{message}","","web; nested web","public","MessageController@index","Blade message.message","layouts.message; includes.header/banner/footer","none","none","none","renders decoded title/message/callback","route_page_message","high","Helper only base64-decodes JSON; unsafe HTML and callback trust"
"W017","routes/web.php","288","GET","/message-accept-success","","web; nested web","public","MessageController@accept_success","Blade message.accept-success","layouts.message; public includes","none","none","none","none","route_page_message","high","Static success page"
"W018","routes/web.php","290","POST","/forgot-password","","web; nested web; CSRF globally exempt; no dedicated throttle","visitor","closure","JSON 200 or custom 599","mail.reset","users","users.password","existing password overwritten by generated password","sends plaintext generated password by email","auth_mutation","high","Personal-ID-only recovery and account enumeration"
"W019","routes/web.php","326","GET","/select/amphoes","","web; nested web","public/applicant forms","closure","JSON data","none","amphoes","none","none","none","reference_api","high","Undefined amphoes variable if province_id absent"
"W020","routes/web.php","340","GET","/select/tambons","","web; nested web","public/applicant forms","closure","JSON data","none","tambons","none","none","none","reference_api","high","Returns postcode; undefined tambons variable if amphoe_id absent"
"W021","routes/web.php","355","GET","/course/apply/{apply_token}","","web; nested web","visitor or applicant following course token","closure","redirect to named V2 profile or legacy training detail","none","configuration only","none","none","none","compatibility_redirect","high","V2 selection controlled by apply.flow_version"
"W022","routes/web.php","362","GET","/course/detail/{course_code}","","web; nested web","visitor/applicant; admin redirected elsewhere only on catalog","CourseController@detail","Blade course.detail","layouts.layout; public includes","course; center; course_type; tutor_type; apply_course; contact","none","none","course attachment URL; generates trainee/staff temporary apply tokens","route_page","high","Existing-application blocker omits confirmed; registration availability calculated by dates and gender flags"
"W023","routes/web.php","363","GET","/course/confirm/{apply_token}","","web; nested web; public encrypted token","invited/approved applicant following email link","CourseController@confirm","redirect to message route","mail confirmed templates indirectly","apply_course; course; course_type; contact; users via intended UserServices","apply_course.status; confirmed_date; updated_date","approved to confirmed","sends confirmed email with cancellation URL after transition","token_mutation_get","high","Broken: controller constructor does not initialize userServices; partial state write can precede fatal"
"W024","routes/web.php","365","GET","/course/cancel/{apply_token}","","web; nested web; public encrypted token","applicant following cancellation UI/email","ApplyController@cancel","JSON status ok or aborted redirect","mail.cancel indirectly","apply_course/Apply; course; users; contact","apply_course.status; updated_date","approved|confirmed|checkin to left; all other states to canceled","sends cancellation email to hardcoded admin recipient","token_mutation_get","high","No one-use token or repeat guard"
"W025","routes/web.php","366","GET","/course/canceled/{apply_token}","","web; nested web; public encrypted token","applicant following email link","ApplyController@canceled","redirect/message response","mail.cancel indirectly; message.message","apply_course/Apply; course; users; contact","apply_course.status; updated_date","approved|confirmed|checkin to left; all other states to canceled","sends cancellation email to admin","token_mutation_get","high","Same mutation as W024 with different response"
"W026","routes/web.php","367","GET","/apply/canceled/{apply_token}","","web; nested web; public encrypted token","applicant","ApplyController@canceled","redirect/message response","mail.cancel indirectly; message.message","apply_course/Apply; course; users; contact","apply_course.status; updated_date","approved|confirmed|checkin to left; all other states to canceled","sends cancellation email to admin","compatibility_alias_mutation","high","Exact action alias of W025"
"W027","routes/web.php","371","GET","/course/v2/apply/{apply_token}","apply.v2.profile","web; nested web; guided.flow; auth outside local","authenticated applicant; local route omits auth but handler needs it to create","ApplyController@profileV2","Blade apply.v2.profile","layouts.layout; apply.v2._action_styles; _progress; status-alert; components.accept.update-reminder; course.course-info-v2","apply_course/Apply; users; contact; course; course_type; center; tutor_type; apply_course_manager; provinces; amphoes; tambons; education_level; trainee_type","possible insert apply_course draft on first GET","no record to draft with step user_info","course attachment displayed by partial","route_page_guided","high","Duplicate route name with W028"
"W028","routes/web.php","372","GET","/course/v2/apply/{apply_token}/profile","apply.v2.profile","web; nested web; guided.flow; auth outside local","authenticated applicant","ApplyController@profileV2","Blade apply.v2.profile","same as W027","same as W027","possible insert apply_course draft on first GET","no record to draft with step user_info","course attachment displayed","route_page_guided_alias","high","Duplicate name may replace W027 in named route collection"
"W029","routes/web.php","373","POST","/course/v2/apply/{apply_token}/profile","apply.v2.profile.store","web; nested web; guided.flow; auth outside local; CSRF globally exempt","authenticated application owner","ApplyController@profileV2Store","redirect to next guided step","none","apply_course/Apply; course; users; contact; apply_course_manager; reference validation tables","users; contact; apply_course; apply_course_manager; apply_course.step","step advances to user_info representation; category/type/alumni may change","none","guided_mutation","high","Manager synchronization partly outside users/contact transaction"
"W030","routes/web.php","375","GET","/course/v2/apply/{apply_token}/training-history","apply.v2.training-history","web; nested web; guided.flow; auth outside local","authenticated alumni applicant","ApplyController@trainingHistoryV2","Blade apply.v2.training-history","layouts.layout; _action_styles; _progress; status-alert; components.course-history.part-time-warning","apply_course/Apply; course; training_history_info; center; custom_period_times; users/contact","possible insert apply_course draft on temp-token first access","no record to draft possible","none","route_page_guided","high","Redirects when selected flow does not require training history"
"W031","routes/web.php","376","POST","/course/v2/apply/{apply_token}/training-history","apply.v2.training-history.store","web; nested web; guided.flow; auth outside local; CSRF globally exempt","authenticated alumni applicant","ApplyController@trainingHistoryV2Store","redirect next step","none","apply_course; training_history_info; contact; course; custom_period_times","apply_course attendance/step/status; training_history_info; contact.is_alumni","draft may become applying; step advances training_history_info","none","guided_mutation","high","Dates individually range-validated; start-before-end rule not evident"
"W032","routes/web.php","378","GET","/course/v2/apply/{apply_token}/preferences","apply.v2.preferences","web; nested web; guided.flow; auth outside local","authenticated applicant","ApplyController@preferencesV2","Blade apply.v2.preferences","layouts.layout; _action_styles; _progress; status-alert","apply_course/Apply; users/contact; course; question; question_has_group; question_choices; question_apply_course","possible insert apply_course draft on temp-token first access","no record to draft possible","none","route_page_guided","high","Female group 11; male group 12; other/unknown fallback requires product review"
"W033","routes/web.php","379","POST","/course/v2/apply/{apply_token}/preferences","apply.v2.preferences.store","web; nested web; guided.flow; auth outside local; CSRF globally exempt","authenticated applicant","ApplyController@preferencesV2Store","redirect next step","none","apply_course; question/group/choice/answer tables","question_apply_course; apply_course.step","step advances to coarse question step","none","guided_mutation","high","Request-supplied question_group_id is not recomputed from applicant gender"
"W034","routes/web.php","381","GET","/course/v2/apply/{apply_token}/teacher-details","apply.v2.teacher-details","web; nested web; guided.flow; auth outside local","authenticated post-invitation applicant","ApplyController@teacherDetailsV2","Blade apply.v2.teacher-details","layouts.layout; _action_styles; _progress; status-alert","apply_course/Apply; course; users/contact; question/group/choice/answer tables","possible insert draft on temp-token first access","none except possible draft","none","route_page_guided","high","Hardcoded question sets by new/alumni/staff; group 14"
"W035","routes/web.php","382","POST","/course/v2/apply/{apply_token}/teacher-details","apply.v2.teacher-details.store","web; nested web; guided.flow; auth outside local; CSRF globally exempt","authenticated post-invitation applicant","ApplyController@teacherDetailsV2Store","redirect next step","none","apply_course; question/group/choice/answer tables","question_apply_course; apply_course.step","step remains/advances coarse question","none","guided_mutation","high","Mandatory dynamic questions are not comprehensively server-enforced"
"W036","routes/web.php","384","GET","/course/v2/apply/{apply_token}/commitment","apply.v2.commitment","web; nested web; guided.flow; auth outside local","authenticated post-invitation applicant","ApplyController@commitmentV2","Blade apply.v2.commitment","layouts.layout; _action_styles; _progress; status-alert","apply_course/Apply; course; users/contact; question/group/choice/answer tables","possible insert draft on temp-token first access","none except possible draft","renders cancellation GET URLs","route_page_guided","high","Group 9 rules and representative/emergency information"
"W037","routes/web.php","385","POST","/course/v2/apply/{apply_token}/commitment","apply.v2.commitment.store","web; nested web; guided.flow; auth outside local; CSRF globally exempt","authenticated post-invitation applicant","ApplyController@commitmentV2Store","redirect management step","none","apply_course/Apply; question/group/choice/answer tables","question_apply_course; apply_course contact/step fields","step advances coarse question; no lifecycle change","none","guided_mutation","high","Validates emergency contact and acceptance flags; clears representative answers for self"
"W038","routes/web.php","387","GET","/course/v2/apply/{apply_token}/management-details","apply.v2.management-details","web; nested web; guided.flow; auth outside local","authenticated post-invitation applicant","ApplyController@managementDetailsV2","Blade apply.v2.management-details","layouts.layout; _action_styles; _progress; status-alert","apply_course/Apply; course; users/contact; question/group/choice/answer tables","possible insert draft on temp-token first access","none except possible draft","none","route_page_guided","high","Group 13 travel/dinner/seating"
"W039","routes/web.php","388","POST","/course/v2/apply/{apply_token}/management-details","apply.v2.management-details.store","web; nested web; guided.flow; auth outside local; CSRF globally exempt","authenticated post-invitation applicant","ApplyController@managementDetailsV2Store","redirect/complete modal state","confirmed mail templates indirectly","apply_course; contact; course; users; question/group/choice/answer tables","question_apply_course; apply_course travel/facility/contact/step/status/confirmed_date","invited to confirmed; approved remains approved","queues confirmation email via app terminating callback","guided_mutation_completion","high","State semantics differ for invited versus approved"
"W040","routes/web.php","390","GET","/course/v2/apply/{apply_token}/pdpa","apply.v2.pdpa","web; nested web; guided.flow; auth outside local","authenticated pre-invitation applicant","ApplyController@pdpaV2","Blade apply.v2.pdpa","layouts.layout; _action_styles; _progress; status-alert","apply_course/Apply; course","possible insert draft on temp-token first access","none except possible draft","links new-privacy.pdf","route_page_guided","high","Only pre-approved flow; applied state may render completed"
